_program_index,program_index,pixel_count,abs_diff_pixel_count,pixel_count_p,abs_diff_pixel_count_p,datetime_jst,speed_distance_km_h,abs_diff_distance_m,camera_command,camera_recording,speaker_on
-1895,18,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1894,19,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1893,20,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1892,21,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1891,22,0,0,0.0,0.0,2024-05-24 03:55:22+09:00,64.16652956284045,0.3352279292894273,1.0,1.0,0.0
-1890,23,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1889,24,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1888,25,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1887,26,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1886,27,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1885,28,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1884,29,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1883,30,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1882,31,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1881,32,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1880,33,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1879,34,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1878,35,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1877,36,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1876,37,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1875,38,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1874,39,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1873,40,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1872,41,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1871,42,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1870,43,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1869,44,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1868,45,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1867,46,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1866,47,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1865,48,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1864,49,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1863,50,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1862,51,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1861,52,0,0,0.0,0.0,2024-05-24 03:55:23+09:00,66.82067665030233,0.7372630798505213,1.0,1.0,0.0
-1860,53,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1859,54,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1858,55,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1857,56,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1856,57,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1855,58,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1854,59,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1853,60,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1852,61,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1851,62,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1850,63,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1849,64,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1848,65,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1847,66,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1846,67,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1845,68,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1844,69,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1843,70,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1842,71,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1841,72,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1840,73,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1839,74,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1838,75,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1837,76,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1836,77,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1835,78,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1834,79,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1833,80,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1832,81,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1831,82,0,0,0.0,0.0,2024-05-24 03:55:24+09:00,63.87211751757697,0.8190442035348227,1.0,1.0,0.0
-1830,83,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1829,84,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1828,85,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1827,86,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1826,87,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1825,88,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1824,89,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1823,90,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1822,91,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1821,92,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1820,93,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1819,94,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1818,95,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1817,96,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1816,97,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1815,98,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1814,99,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1813,100,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1812,101,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1811,102,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1810,103,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1809,104,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1808,105,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1807,106,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1806,107,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1805,108,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1804,109,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1803,110,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1802,111,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1801,112,0,0,0.0,0.0,2024-05-24 03:55:25+09:00,62.25652622481104,0.4487753591016457,1.0,1.0,0.0
-1800,113,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1799,114,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1798,115,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1797,116,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1796,117,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1795,118,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1794,119,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1793,120,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1792,121,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1791,122,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1790,123,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1789,124,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1788,125,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1787,126,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1786,127,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1785,128,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1784,129,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1783,130,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1782,131,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1781,132,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1780,133,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1779,134,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1778,135,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1777,136,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1776,137,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1775,138,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1774,139,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1773,140,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1772,141,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1771,142,0,0,0.0,0.0,2024-05-24 03:55:26+09:00,64.1663275503344,0.5305003682009328,1.0,1.0,0.0
-1770,143,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1769,144,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1768,145,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1767,146,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1766,147,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1765,148,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1764,149,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1763,150,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1762,151,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1761,152,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1760,153,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1759,154,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1758,155,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1757,156,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1756,157,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1755,158,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1754,159,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1753,160,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1752,161,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1751,162,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1750,163,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1749,164,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1748,165,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1747,166,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1746,167,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1745,168,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1744,169,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1743,170,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1742,171,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1741,172,0,0,0.0,0.0,2024-05-24 03:55:27+09:00,65.58447705097481,0.3939304168445581,1.0,1.0,0.0
-1740,173,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1739,174,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1738,175,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1737,176,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1736,177,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1735,178,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1734,179,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1733,180,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1732,181,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1731,182,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1730,183,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1729,184,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1728,185,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1727,186,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1726,187,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1725,188,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1724,189,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1723,190,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1722,191,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1721,192,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1720,193,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1719,194,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1718,195,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1717,196,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1716,197,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1715,198,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1714,199,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1713,200,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1712,201,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1711,202,0,0,0.0,0.0,2024-05-24 03:55:28+09:00,58.47665537808929,1.9743949091348652,1.0,1.0,0.0
-1710,203,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1709,204,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1708,205,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1707,206,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1706,207,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1705,208,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1704,209,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1703,210,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1702,211,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1701,212,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1700,213,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1699,214,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
-1698,215,0,0,0.0,0.0,2024-05-24 03:55:29+09:00,65.58437903037432,1.9743676811902875,1.0,1.0,0.0
